Date,Description,Amount
2024-11-18,Canva Pro,13536
2024-08-13,Employee Salary,39082
2024-05-26,Facebook Ads,13675
2024-05-30,Electricity Bill,4260
2024-03-13,Intern Stipend,53880
2024-02-16,WiFi Payment,4500
2024-10-26,Local Vendor,1672
2024-07-30,Repair Service,3420
2024-04-01,Zomato Dinner,402
2024-08-20,WiFi Payment,2454
2024-12-20,Printer Paper,1627
2024-02-28,Laptop Purchase,13976
2024-02-13,WiFi Payment,3773
2024-11-09,Misc Purchase,4391
2024-07-13,Desk Equipment,44067
2024-06-20,Employee Salary,79785
2024-04-01,Monitor Setup,17476
2024-06-07,Payroll Transfer,40189
2024-03-01,Broadband Recharge,2280
2024-11-14,Monitor Setup,8231
2024-09-11,Uber Ride,3957
2024-11-07,WiFi Payment,847
2024-10-28,Electricity Bill,2576
2024-08-14,Broadband Recharge,4159
2024-01-04,Pens Purchase,2758
2024-11-17,Notion Annual,5577
2024-04-04,Repair Service,600
2024-06-27,Laptop Purchase,50813
2024-01-17,Employee Salary,75956
2024-01-26,Flight Booking,918
2024-03-23,Printer Paper,1030
2024-10-23,Ola Cab,3930
2024-06-02,Swiggy Team Lunch,681
2024-07-13,Zomato Dinner,3976
2024-02-03,Printer Paper,2554
2024-03-03,Rail Ticket,1302
2024-07-30,Flight Booking,4517
2024-04-17,Repair Service,5900
2024-11-18,Employee Salary,57445
2024-12-18,Local Vendor,4162
2024-05-12,Rail Ticket,2792
2024-11-10,Courier Charge,1262
2024-09-09,WiFi Payment,4877
2024-05-28,Monitor Setup,54437
2024-01-13,AWS Subscription,1468
2024-04-16,WiFi Payment,1766
2024-06-19,Facebook Ads,1745
2024-11-22,Restaurant Meeting,3601
2024-04-13,AWS Subscription,5747
2024-06-06,Flight Booking,755
2024-02-28,Flight Booking,250
2024-10-18,Zomato Dinner,1922
2024-06-18,Employee Salary,32715
2024-08-30,Restaurant Meeting,2262
2024-09-03,Intern Stipend,28896
2024-06-20,Desk Equipment,43190
2024-09-23,Broadband Recharge,1258
2024-10-01,Flight Booking,4748
2024-12-16,Employee Salary,57840
2024-03-17,Zomato Dinner,571
2024-07-11,Uber Ride,2978
2024-11-06,Repair Service,4877
2024-02-29,Google Ads,10751
2024-05-19,Flight Booking,459
2024-05-01,Google Ads,9143
2024-06-03,Zomato Dinner,3697
2024-02-27,Notion Annual,1933
2024-04-13,Swiggy Team Lunch,3485
2024-01-13,Printer Paper,2372
2024-04-07,WiFi Payment,2062
2024-09-25,Zomato Dinner,3300
2024-02-20,Flight Booking,1373
2024-01-19,Repair Service,1880
2024-01-03,Broadband Recharge,1748
2024-06-19,Uber Ride,913
2024-09-23,Electricity Bill,1644
2024-06-08,Uber Ride,4931
2024-04-08,Notion Annual,2142
2024-06-12,Flight Booking,4560
2024-05-19,WiFi Payment,1763
2024-02-28,Monitor Setup,25933
2024-09-20,Intern Stipend,56675
2024-06-28,Office Stationery,2522
2024-03-13,Courier Charge,2420
2024-02-06,Ola Cab,1603
2024-08-15,Flight Booking,4628
2024-08-29,Employee Salary,21900
2024-01-28,Employee Salary,45139
2024-04-01,Printer Paper,1905
2024-06-08,WiFi Payment,3713
2024-12-09,Swiggy Team Lunch,3220
2024-10-17,Local Vendor,4014
2024-08-27,Laptop Purchase,53783
2024-12-16,Printer Paper,1571
2024-04-24,Broadband Recharge,2698
2024-07-19,Office Chair,31819
2024-06-15,Office Chair,59693
2024-02-03,Broadband Recharge,1047
2024-09-02,Electricity Bill,3679
2024-06-27,Electricity Bill,3112
2024-12-31,Laptop Purchase,34587
2024-11-28,Printer Paper,2577
2024-08-24,Printer Paper,2482
2024-05-02,Canva Pro,7773
2024-07-15,Zoom License,4451
2024-12-21,Printer Paper,1152
2024-06-24,Facebook Ads,10293
2024-12-05,Repair Service,1617
2024-09-06,Pens Purchase,2651
2024-08-25,Pens Purchase,2741
2024-08-15,Restaurant Meeting,699
2024-02-05,Office Chair,34594
2024-07-13,Pens Purchase,2742
2024-12-04,Zomato Dinner,2941
2024-03-12,Employee Salary,34261
2024-03-17,Employee Salary,63311
2024-07-18,WiFi Payment,3187
2024-12-14,Electricity Bill,2484
2024-12-13,Zomato Dinner,2635
2024-02-15,Rail Ticket,3020
2024-07-25,Intern Stipend,53451
2024-07-08,Office Chair,12090
2024-12-26,Local Vendor,206
2024-05-24,Courier Charge,1098
2024-12-25,Employee Salary,48292
2024-12-30,Canva Pro,6212
2024-08-10,Facebook Ads,7251
2024-03-29,Repair Service,5627
2024-10-11,Electricity Bill,2341
2024-08-01,Facebook Ads,14761
2024-03-05,Office Chair,51913
2024-11-27,Laptop Purchase,12701
2024-09-06,Employee Salary,67273
2024-03-11,Google Ads,2387
2024-12-22,Facebook Ads,13925
2024-08-20,Canva Pro,3945
2024-08-18,Misc Purchase,4722
2024-04-05,Facebook Ads,4698
2024-10-22,Canva Pro,1121
2024-12-30,WiFi Payment,2739
2024-10-06,Courier Charge,3565
2024-10-17,Swiggy Team Lunch,455
2024-02-27,WiFi Payment,3819
2024-03-13,WiFi Payment,1455
2024-09-21,Courier Charge,4008
2024-02-15,Pens Purchase,2798
2024-12-05,GitHub Pro,5666
2024-10-03,Pens Purchase,2895
2024-09-30,Uber Ride,3014
2024-09-19,Payroll Transfer,49755
2024-08-03,WiFi Payment,3515
2024-03-26,Zomato Dinner,1484
2024-06-04,Intern Stipend,59166
2024-10-23,Uber Ride,4076
2024-05-29,Laptop Purchase,51012
2024-02-12,Payroll Transfer,51769
2024-05-22,Laptop Purchase,59364
2024-05-20,Ola Cab,2501
2024-11-05,Uber Ride,1113
2024-08-16,Monitor Setup,51198
2024-12-24,Swiggy Team Lunch,1370
2024-09-27,GitHub Pro,1981
2024-03-15,Payroll Transfer,25531
2024-07-30,Desk Equipment,57332
2024-08-13,Google Ads,11824
2024-06-25,Monitor Setup,45863
2024-02-29,Intern Stipend,37327
2024-07-23,Employee Salary,50409
2024-09-29,Broadband Recharge,4701
2024-12-27,GitHub Pro,6099
2024-03-15,Facebook Ads,5302
2024-05-27,Misc Purchase,297
2024-09-28,Broadband Recharge,3386
2024-11-22,Employee Salary,54818
2024-11-29,Zomato Dinner,2800
2024-05-16,Flight Booking,2414
2024-10-26,Printer Paper,2980
2024-12-11,Facebook Ads,13667
2024-06-21,Zoom License,4759
2024-01-06,Office Chair,43888
2024-07-29,Employee Salary,20783
2024-12-16,Pens Purchase,725
2024-05-25,Broadband Recharge,2597
2024-01-13,Ola Cab,478
2024-12-02,Office Stationery,2733
2024-03-02,AWS Subscription,6300
2024-07-11,Pens Purchase,832
2024-04-04,Laptop Purchase,53590
2024-12-04,Flight Booking,4025
2024-05-21,Pens Purchase,2157
2024-06-14,Canva Pro,11937
2024-05-21,Ola Cab,806
2024-06-19,Payroll Transfer,45466
2024-05-15,Payroll Transfer,73267
2024-09-08,Desk Equipment,12548
2024-11-26,GitHub Pro,1961
2024-10-03,Electricity Bill,1978
2024-11-25,Google Ads,11059
2024-02-22,Printer Paper,1360
2024-10-19,Employee Salary,24614
2024-09-11,Rail Ticket,353
2024-12-06,Laptop Purchase,10479
2024-12-24,Facebook Ads,3483
2024-01-02,Zomato Dinner,2653
2024-08-11,Misc Purchase,4116
2024-02-05,Canva Pro,13794
2024-07-15,Repair Service,227
2024-06-19,Electricity Bill,3740
2024-11-19,Rail Ticket,652
2024-06-23,Printer Paper,2489
2024-11-27,Printer Paper,1487
2024-01-21,Zoom License,5042
2024-06-02,Canva Pro,4129
2024-12-18,Google Ads,11332
2024-11-19,Zomato Dinner,647
2024-03-12,WiFi Payment,2352
2024-10-30,Employee Salary,21662
2024-02-02,GitHub Pro,3684
2024-09-30,Courier Charge,4293
2024-06-22,Electricity Bill,1103
2024-01-22,Payroll Transfer,71627
2024-11-30,Google Ads,4468
2024-10-01,Misc Purchase,5754
2024-01-19,Monitor Setup,12720
2024-01-10,Desk Equipment,50849
2024-05-04,WiFi Payment,1175
2024-11-19,Laptop Purchase,19288
2024-02-19,Payroll Transfer,73787
2024-10-29,WiFi Payment,2198
2024-09-11,Office Stationery,767
2024-04-13,AWS Subscription,7090
2024-12-13,Facebook Ads,14295
2024-12-16,Facebook Ads,2979
2024-04-19,Repair Service,2834
2024-06-20,Intern Stipend,31367
2024-03-13,Office Stationery,1421
2024-07-08,Google Ads,12408
2024-05-04,Repair Service,3793
2024-11-19,Employee Salary,26551
2024-09-06,Google Ads,1256
2024-04-01,Office Stationery,329
2024-10-30,Pens Purchase,2969
2024-12-20,Rail Ticket,4099
2024-11-23,Monitor Setup,17377
2024-05-02,Rail Ticket,3575
2024-04-02,Laptop Purchase,47077
2024-11-17,WiFi Payment,1521
2024-01-03,Flight Booking,3630
2024-03-01,Repair Service,1772
2024-07-04,Local Vendor,5270
2024-11-16,Repair Service,4002
2024-04-09,Notion Annual,934
2024-09-11,Office Stationery,2243
2024-01-23,Monitor Setup,51918
2024-05-25,Intern Stipend,43867
2024-06-20,GitHub Pro,2559
2024-01-27,Electricity Bill,1655
2024-01-15,Repair Service,1494
2024-02-06,WiFi Payment,1750
2024-10-23,GitHub Pro,5355
2024-12-12,Zomato Dinner,1114
2024-02-26,Swiggy Team Lunch,3490
2024-05-01,Swiggy Team Lunch,701
2024-04-22,Google Ads,7152
2024-09-05,Printer Paper,2696
2024-04-20,Payroll Transfer,29498
2024-07-10,Electricity Bill,3973
2024-04-09,Desk Equipment,55174
2024-06-20,Zomato Dinner,1128
2024-10-18,Laptop Purchase,53364
2024-02-26,Payroll Transfer,28945
2024-03-28,Broadband Recharge,4226
2024-05-31,Swiggy Team Lunch,3930
2024-10-10,Monitor Setup,45887
2024-09-24,AWS Subscription,3872
2024-08-24,Electricity Bill,4678
2024-05-06,Uber Ride,3707
2024-10-23,Notion Annual,4057
2024-10-20,Zoom License,7985
2024-01-21,Payroll Transfer,22898
2024-01-18,WiFi Payment,4930
2024-09-02,Canva Pro,7460
2024-05-03,Printer Paper,2328
2024-12-20,Pens Purchase,350
2024-07-02,Google Ads,3174
2024-01-09,Ola Cab,943
2024-03-23,WiFi Payment,3297
2024-08-20,WiFi Payment,999
2024-04-04,Electricity Bill,4120
2024-12-26,Restaurant Meeting,2201
2024-07-16,Intern Stipend,24633
2024-05-31,Restaurant Meeting,433
2024-11-09,Facebook Ads,12436
2024-02-11,Repair Service,5808
2024-09-20,Restaurant Meeting,524
2024-07-15,Swiggy Team Lunch,754
2024-01-21,Zomato Dinner,2835
2024-11-27,Zomato Dinner,1017
2024-12-29,Local Vendor,4793
2024-05-02,Zoom License,3243
2024-09-01,Local Vendor,5516
2024-06-29,Zoom License,3125
2024-01-28,Rail Ticket,2470
2024-08-19,Printer Paper,1714
2024-08-28,WiFi Payment,1805
2024-11-13,Courier Charge,3902
2024-02-03,Restaurant Meeting,3139
2024-02-11,GitHub Pro,1215
2024-02-09,Google Ads,5724
2024-02-27,Office Stationery,1430
2024-04-14,Desk Equipment,17863
2024-08-01,Local Vendor,2601
2024-06-26,Repair Service,4082
2024-11-26,Facebook Ads,13086
2024-02-02,Payroll Transfer,32390
2024-09-23,Employee Salary,74719
2024-06-24,Zomato Dinner,2670
2024-12-06,Zomato Dinner,2730
2024-06-04,Misc Purchase,3951
2024-05-13,Office Chair,19254
2024-05-27,GitHub Pro,3546
2024-05-25,Employee Salary,43142
2024-12-30,Electricity Bill,2117
2024-03-30,Courier Charge,1693
2024-02-29,Monitor Setup,23591
2024-03-05,Payroll Transfer,57652
2024-04-04,Broadband Recharge,3828
2024-06-11,AWS Subscription,5952
2024-08-17,Swiggy Team Lunch,1827
2024-06-03,Repair Service,4571
2024-09-12,Office Stationery,1957
2024-03-20,Desk Equipment,28985
2024-09-16,Intern Stipend,55792
2024-05-31,Restaurant Meeting,3189
2024-10-16,Broadband Recharge,2004
2024-09-02,Broadband Recharge,1720
2024-10-09,Employee Salary,64433
2024-07-24,Printer Paper,401
2024-02-17,GitHub Pro,3427
2024-11-24,Swiggy Team Lunch,2790
2024-05-22,Zoom License,6900
2024-10-02,AWS Subscription,1184
2024-09-19,WiFi Payment,1515
2024-06-11,Google Ads,9035
2024-07-03,Local Vendor,5662
2024-08-06,Google Ads,12730
2024-01-07,Zomato Dinner,1827
2024-06-06,Flight Booking,3078
2024-04-20,WiFi Payment,1517
2024-08-14,WiFi Payment,4204
2024-07-31,Ola Cab,3672
2024-04-16,Laptop Purchase,17413
2024-06-20,Rail Ticket,4503
2024-02-15,Pens Purchase,1839
2024-05-19,Payroll Transfer,61864
2024-08-24,Google Ads,10106
2024-07-14,Monitor Setup,20190
2024-06-03,Rail Ticket,545
2024-08-25,Rail Ticket,4781
2024-01-02,AWS Subscription,6981
2024-11-23,Office Chair,27671
2024-08-01,Electricity Bill,3156
2024-11-26,Desk Equipment,53078
2024-05-21,AWS Subscription,1477
2024-10-24,Electricity Bill,3763
2024-05-12,WiFi Payment,4372
2024-07-10,WiFi Payment,1779
2024-03-24,Local Vendor,2326
2024-08-24,Employee Salary,40950
2024-01-28,Office Chair,18702
2024-11-21,Flight Booking,3636
2024-05-29,Swiggy Team Lunch,1487
2024-04-09,Local Vendor,4409
2024-03-26,Laptop Purchase,47240
2024-12-16,Courier Charge,2790
2024-02-19,Flight Booking,3169
2024-01-07,Courier Charge,1377
2024-09-05,Office Chair,32445
2024-02-22,Facebook Ads,3671
2024-04-23,Zoom License,4623
2024-08-23,AWS Subscription,3918
2024-01-09,Office Stationery,837
2024-12-19,Broadband Recharge,3352
2024-08-14,Swiggy Team Lunch,3646
2024-12-29,Courier Charge,1610
2024-04-23,Uber Ride,1171
2024-04-26,Monitor Setup,53091
2024-03-07,Ola Cab,1919
2024-02-09,Printer Paper,757
2024-08-08,Payroll Transfer,69632
2024-01-17,Employee Salary,27065
2024-03-01,Local Vendor,4042
2024-06-03,Uber Ride,742
2024-03-04,Employee Salary,71273
2024-12-09,Zoom License,2013
2024-03-15,Swiggy Team Lunch,671
2024-03-23,Flight Booking,3085
2024-10-18,Repair Service,4336
2024-01-08,Office Stationery,2668
2024-05-24,Repair Service,1769
2024-02-20,Laptop Purchase,55536
2024-12-23,GitHub Pro,3502
2024-02-24,Desk Equipment,52140
2024-08-05,Office Chair,32878
2024-02-27,Zoom License,3838
2024-02-26,Swiggy Team Lunch,2208
2024-07-03,Repair Service,4261
2024-06-16,Uber Ride,873
2024-05-25,Electricity Bill,3952
2024-12-17,WiFi Payment,3355
2024-05-28,Electricity Bill,4136
2024-08-31,Google Ads,2140
2024-12-11,Swiggy Team Lunch,352
2024-07-21,WiFi Payment,1661
2024-03-02,WiFi Payment,1496
2024-12-21,Desk Equipment,34255
2024-02-03,Pens Purchase,991
2024-04-12,Swiggy Team Lunch,1687
2024-08-05,Google Ads,4815
2024-11-25,Broadband Recharge,3036
2024-12-07,Facebook Ads,8795
2024-05-22,Facebook Ads,9379
2024-03-03,Desk Equipment,15080
2024-04-28,Rail Ticket,4273
2024-01-28,Laptop Purchase,14527
2024-04-01,Printer Paper,409
2024-06-16,Canva Pro,12128
2024-11-15,Office Chair,48761
2024-09-09,Office Stationery,2429
2024-12-04,Electricity Bill,3204
2024-05-13,Broadband Recharge,4935
2024-10-06,Courier Charge,4628
2024-03-01,Employee Salary,48207
2024-07-11,Facebook Ads,6153
2024-01-17,Broadband Recharge,1094
2024-03-25,Office Chair,54272
2024-06-08,Broadband Recharge,1901
2024-02-26,Facebook Ads,13517
2024-08-31,WiFi Payment,4648
2024-01-29,Repair Service,4350
2024-10-29,Facebook Ads,9105
2024-06-29,Canva Pro,12083
2024-01-15,Flight Booking,703
2024-07-06,Employee Salary,74849
2024-01-14,Restaurant Meeting,2691
2024-08-07,Zomato Dinner,698
2024-06-28,Zomato Dinner,1987
2024-05-06,Intern Stipend,36005
2024-02-13,Notion Annual,5354
2024-06-21,Printer Paper,768
2024-06-15,Laptop Purchase,43285
2024-08-04,Payroll Transfer,63107
2024-01-11,Misc Purchase,2384
2024-06-11,WiFi Payment,982
2024-06-14,Canva Pro,7394
2024-12-19,Printer Paper,709
2024-09-14,Notion Annual,4569
2024-06-02,Swiggy Team Lunch,2818
2024-09-11,Zomato Dinner,1126
2024-05-27,Pens Purchase,1176
2024-10-20,Uber Ride,2635
2024-02-17,Google Ads,11232
2024-05-19,Pens Purchase,1679
2024-08-31,Pens Purchase,2475
2024-02-09,Google Ads,6690
2024-12-05,Flight Booking,3746
2024-07-31,Courier Charge,1839
2024-09-20,Facebook Ads,11239
2024-01-10,WiFi Payment,2279
2024-09-12,Repair Service,4925
2024-11-22,GitHub Pro,2694
2024-11-16,Misc Purchase,4837
2024-07-05,Intern Stipend,33149
2024-03-18,Electricity Bill,2769
2024-06-12,Rail Ticket,3560
2024-07-30,Pens Purchase,1133
2024-05-11,Flight Booking,1515
2024-02-28,GitHub Pro,2453
2024-05-05,Monitor Setup,9815
2024-10-13,Rail Ticket,4176
2024-01-19,Facebook Ads,11599
2024-03-10,Zoom License,2734
2024-05-22,Payroll Transfer,71751
2024-01-22,Repair Service,5478
2024-02-12,Electricity Bill,1253
2024-02-02,Restaurant Meeting,1520
2024-12-02,Facebook Ads,12004
2024-04-30,Printer Paper,875
2024-03-02,Pens Purchase,2349
2024-02-16,Courier Charge,4266
2024-06-09,AWS Subscription,6833
2024-07-18,Restaurant Meeting,3319
2024-03-14,GitHub Pro,2285
2024-05-20,Office Stationery,1176
2024-10-28,Broadband Recharge,2883
2024-07-10,Payroll Transfer,54961
2024-08-04,Printer Paper,2535
2024-05-22,WiFi Payment,2818
2024-07-07,Office Chair,39144
2024-12-05,Uber Ride,485
2024-12-09,Intern Stipend,71694
2024-07-15,Notion Annual,5027
2024-09-30,Flight Booking,1199
2024-01-05,GitHub Pro,3682
2024-02-16,Facebook Ads,5929
2024-03-23,Notion Annual,2223
2024-11-25,WiFi Payment,3398
2024-02-11,Google Ads,5489
2024-06-19,Broadband Recharge,4182
2024-03-23,Google Ads,14506
2024-08-03,Uber Ride,3082
2024-12-21,Courier Charge,3913
2024-11-24,Employee Salary,62033
2024-11-24,Desk Equipment,59840
2024-04-12,Laptop Purchase,34257
2024-02-12,Flight Booking,4917
2024-09-21,Office Stationery,1322
2024-06-12,Desk Equipment,59946
2024-05-13,Broadband Recharge,1893
2024-04-11,Office Chair,26467
2024-04-03,Printer Paper,1805
2024-10-19,Facebook Ads,14675
2024-10-12,AWS Subscription,688
2024-04-11,AWS Subscription,4288
2024-07-24,Ola Cab,607
2024-03-17,Canva Pro,5262
2024-10-17,Printer Paper,996
2024-08-10,Office Stationery,2453
2024-03-01,WiFi Payment,4848
2024-05-16,Zoom License,2060
2024-03-07,Rail Ticket,3329
2024-04-20,Google Ads,10831
2024-04-02,Ola Cab,3626
2024-05-28,Google Ads,1471
2024-05-07,Ola Cab,3894
2024-11-27,Restaurant Meeting,3102
2024-08-28,Electricity Bill,884
2024-07-22,Office Chair,53417
2024-08-04,GitHub Pro,6303
2024-10-12,Uber Ride,980
2024-04-30,Employee Salary,41814
2024-01-03,Broadband Recharge,1172
2024-07-21,Rail Ticket,2678
2024-10-13,Swiggy Team Lunch,3954
2024-05-13,Intern Stipend,31755
2024-08-27,Desk Equipment,30228
2024-12-29,Laptop Purchase,28795
2024-05-13,Misc Purchase,1361
2024-03-06,Printer Paper,480
2024-08-08,Broadband Recharge,3753
2024-09-21,Flight Booking,2360
2024-03-25,Zomato Dinner,3956
2024-03-18,Restaurant Meeting,2312
2024-04-06,Misc Purchase,635
2024-04-03,Laptop Purchase,23064
2024-03-24,Payroll Transfer,37054
2024-09-10,Broadband Recharge,1750
2024-12-29,Payroll Transfer,43364
2024-09-09,Misc Purchase,3949
2024-03-04,Pens Purchase,906
2024-05-25,Swiggy Team Lunch,1134
2024-09-17,Monitor Setup,57147
2024-01-03,Ola Cab,4980
2024-02-09,Repair Service,3611
2024-02-18,GitHub Pro,6045
2024-12-14,Swiggy Team Lunch,1464
2024-10-29,Printer Paper,1830
2024-01-15,Printer Paper,929
2024-08-20,Printer Paper,2265
2024-01-23,Uber Ride,2898
2024-04-18,Broadband Recharge,1859
2024-06-14,Intern Stipend,38543
2024-10-07,Intern Stipend,24634
2024-05-10,Google Ads,7534
2024-07-23,Monitor Setup,58520
2024-03-24,Office Stationery,1152
2024-11-27,Facebook Ads,5668
2024-09-08,Laptop Purchase,27565
2024-06-07,Canva Pro,14211
2024-02-19,Office Chair,51615
2024-09-07,Restaurant Meeting,1118
2024-05-17,Broadband Recharge,4702
2024-08-04,Google Ads,13394
2024-08-10,Restaurant Meeting,1063
2024-09-19,Google Ads,1662
2024-04-24,Zomato Dinner,3070
2024-11-18,Desk Equipment,42555
2024-08-27,Local Vendor,2581
2024-09-01,Google Ads,14132
2024-12-16,Ola Cab,1246
2024-08-06,Ola Cab,4485
2024-02-09,Uber Ride,4713
2024-09-18,Intern Stipend,27053
2024-08-25,Facebook Ads,2548
2024-10-26,Flight Booking,2287
2024-02-28,Pens Purchase,366
2024-07-20,Electricity Bill,2292
2024-12-26,Employee Salary,47279
2024-12-09,Flight Booking,3927
2024-06-23,WiFi Payment,2971
2024-02-10,Monitor Setup,20129
2024-09-30,Uber Ride,3753
2024-02-29,Employee Salary,45882
2024-09-01,Employee Salary,62978
2024-12-02,WiFi Payment,4118
2024-12-19,Broadband Recharge,3755
2024-03-05,Facebook Ads,2435
2024-02-27,Laptop Purchase,20504
2024-01-14,Intern Stipend,32335
2024-03-15,GitHub Pro,5813
2024-11-16,GitHub Pro,7398
2024-06-03,Repair Service,905
2024-08-04,Electricity Bill,4682
2024-03-19,Employee Salary,30885
2024-01-11,Broadband Recharge,4662
2024-04-13,WiFi Payment,2787
2024-06-19,Rail Ticket,617
2024-12-31,Employee Salary,61314
2024-09-10,Facebook Ads,14903
2024-09-06,Courier Charge,503
2024-10-29,Facebook Ads,9410
2024-09-27,Electricity Bill,1297
2024-06-10,Payroll Transfer,57775
2024-11-27,Local Vendor,2394
2024-09-10,Facebook Ads,2915
2024-08-11,Zomato Dinner,3157
2024-04-08,Employee Salary,38875
2024-04-28,Broadband Recharge,4389
2024-12-16,Repair Service,5014
2024-12-02,Restaurant Meeting,3795
2024-12-30,Electricity Bill,3203
2024-12-10,Facebook Ads,14649
2024-03-23,Zomato Dinner,3575
2024-02-14,Notion Annual,6158
2024-04-12,Electricity Bill,2219
2024-07-31,Desk Equipment,14612
2024-04-17,Broadband Recharge,2722
2024-07-02,Local Vendor,348
2024-03-30,Flight Booking,1499
2024-06-21,Local Vendor,721
2024-04-26,Google Ads,11118
2024-09-06,Pens Purchase,1217
2024-01-24,Flight Booking,3110
2024-12-19,Courier Charge,1438
2024-01-26,Local Vendor,5986
2024-02-24,Broadband Recharge,1708
2024-09-16,Pens Purchase,471
2024-03-01,Office Stationery,2880
2024-05-29,Notion Annual,1786
2024-02-20,WiFi Payment,4882
2024-03-11,Office Chair,29928
2024-07-31,Office Stationery,2098
2024-08-30,Employee Salary,74710
2024-03-28,Zomato Dinner,2368
2024-07-31,Printer Paper,1825
2024-05-05,Restaurant Meeting,3023
2024-04-26,Desk Equipment,59590
2024-07-28,Desk Equipment,35093
2024-01-16,WiFi Payment,3763
2024-09-21,Electricity Bill,881
2024-06-10,Office Stationery,1685
2024-02-01,Google Ads,8111
2024-11-24,Google Ads,11816
2024-12-31,Laptop Purchase,49393
2024-07-24,Courier Charge,3634
2024-06-25,Courier Charge,2769
2024-09-27,Payroll Transfer,78996
2024-11-25,Desk Equipment,37241
2024-06-25,GitHub Pro,6213
2024-02-13,Google Ads,5940
2024-07-18,Intern Stipend,41921
2024-02-17,Office Chair,22007
2024-06-23,Courier Charge,4470
2024-10-03,Laptop Purchase,9827
2024-08-04,Ola Cab,2689
2024-07-09,Local Vendor,691
2024-01-25,Flight Booking,1214
2024-10-20,Printer Paper,1520
2024-04-30,Payroll Transfer,42215
2024-06-02,Repair Service,3069
2024-09-23,Ola Cab,3293
2024-09-21,AWS Subscription,3185
2024-02-20,Notion Annual,4221
2024-02-11,Desk Equipment,35004
2024-03-07,Office Stationery,2040
2024-02-09,Electricity Bill,4454
2024-07-25,Restaurant Meeting,2455
2024-10-26,Misc Purchase,2360
2024-08-13,WiFi Payment,4268
2024-03-24,WiFi Payment,4215
2024-12-30,Monitor Setup,39769
2024-12-21,Electricity Bill,1767
2024-01-17,GitHub Pro,4377
2024-11-04,Office Chair,15783
2024-07-08,Google Ads,2980
2024-03-19,Uber Ride,4482
2024-07-10,Printer Paper,1548
2024-01-15,Flight Booking,4180
2024-10-28,Monitor Setup,59366
2024-05-25,Google Ads,5999
2024-09-07,Zoom License,7210
2024-06-27,Employee Salary,55883
2024-09-03,Office Stationery,2010
2024-07-12,Rail Ticket,2967
2024-03-11,WiFi Payment,1887
2024-12-07,Misc Purchase,3885
2024-02-15,Electricity Bill,3464
2024-07-21,Facebook Ads,4814
2024-12-09,Restaurant Meeting,487
2024-11-26,WiFi Payment,3072
2024-10-19,Office Stationery,401
2024-02-13,Uber Ride,4782
2024-09-24,AWS Subscription,5171
2024-01-10,GitHub Pro,4617
2024-04-02,Pens Purchase,2478
2024-04-15,Payroll Transfer,71560
2024-09-30,GitHub Pro,1193
2024-01-24,Zomato Dinner,2712
2024-08-11,Electricity Bill,3584
2024-09-27,Desk Equipment,9576
2024-02-16,Zomato Dinner,1353
2024-03-27,Office Stationery,2519
2024-05-10,Ola Cab,1696
2024-07-27,Office Stationery,1556
2024-06-15,Laptop Purchase,48270
2024-01-30,Laptop Purchase,54746
2024-06-12,Rail Ticket,1008
2024-05-12,Desk Equipment,29247
2024-04-13,Google Ads,1849
2024-09-17,Zoom License,4538
2024-05-17,Misc Purchase,1142
2024-10-10,Payroll Transfer,50462
2024-01-15,Google Ads,8932
2024-01-10,Canva Pro,4829
2024-10-11,Uber Ride,2217
2024-07-27,Office Chair,45240
2024-04-14,Electricity Bill,4899
2024-03-27,Office Chair,43418
2024-10-11,GitHub Pro,7966
2024-08-25,Electricity Bill,808
2024-01-31,Ola Cab,204
2024-12-14,Broadband Recharge,2855
2024-11-19,Facebook Ads,14802
2024-03-23,Notion Annual,872
2024-02-15,Local Vendor,2662
2024-03-12,Canva Pro,3014
2024-04-17,Courier Charge,3738
2024-06-24,Courier Charge,5787
2024-05-05,Rail Ticket,2436
2024-08-23,Zomato Dinner,1162
2024-03-09,Swiggy Team Lunch,3133
2024-01-03,Intern Stipend,51229
2024-07-30,Intern Stipend,31372
2024-10-02,Misc Purchase,3417
2024-02-09,Pens Purchase,2967
2024-08-15,Local Vendor,5701
2024-11-03,Printer Paper,1841
2024-12-22,Zomato Dinner,1025
2024-07-08,Employee Salary,50323
2024-04-23,GitHub Pro,576
2024-12-29,Payroll Transfer,64600
2024-11-10,Swiggy Team Lunch,668
2024-09-09,Ola Cab,2119
2024-09-09,Swiggy Team Lunch,1449
2024-11-22,AWS Subscription,2106
2024-10-18,Google Ads,5544
2024-10-09,Misc Purchase,1596
2024-10-28,Zoom License,1035
2024-05-12,Laptop Purchase,16351
2024-12-13,Notion Annual,2071
2024-09-29,Intern Stipend,64416
2024-08-06,Rail Ticket,216
2024-07-27,Payroll Transfer,48347
2024-08-26,Uber Ride,4445
2024-04-24,Broadband Recharge,1156
2024-09-29,Payroll Transfer,47529
2024-07-19,Broadband Recharge,842
2024-10-19,Notion Annual,1170
2024-12-19,Intern Stipend,34786
2024-04-10,Google Ads,5095
2024-02-02,Office Chair,28368
2024-08-09,Office Stationery,2265
2024-11-16,Intern Stipend,72246
2024-02-25,Zomato Dinner,1312
2024-01-28,Electricity Bill,3591
2024-05-01,Restaurant Meeting,3552
2024-08-12,Pens Purchase,2837
2024-10-23,Pens Purchase,2128
2024-01-18,Office Stationery,548
2024-12-21,Facebook Ads,14888
2024-08-14,Office Stationery,553
